country_flag,country,capital,continent
7/77/Flag_of_Algeria.svg/100px-Flag_of_Algeria.svg.png,Algeria,Algiers,Africa
9/9d/Flag_of_Angola.svg/100px-Flag_of_Angola.svg.png,Angola,Luanda,Africa
0/0a/Flag_of_Benin.svg/100px-Flag_of_Benin.svg.png,Benin,Porto-Novo,Africa
f/fa/Flag_of_Botswana.svg/100px-Flag_of_Botswana.svg.png,Botswana,Gaborone,Africa
3/31/Flag_of_Burkina_Faso.svg/100px-Flag_of_Burkina_Faso.svg.png,Burkina Faso,Ouagadougou,Africa
5/50/Flag_of_Burundi.svg/100px-Flag_of_Burundi.svg.png,Burundi,Gitega,Africa
4/4f/Flag_of_Cameroon.svg/100px-Flag_of_Cameroon.svg.png,Cameroon,Yaoundé,Africa
3/38/Flag_of_Cape_Verde.svg/100px-Flag_of_Cape_Verde.svg.png,Cape Verde,Praia,Africa
6/6f/Flag_of_the_Central_African_Republic.svg/100px-Flag_of_the_Central_African_Republic.svg.png,Central African Republic,Bangui,Africa
4/4b/Flag_of_Chad.svg/100px-Flag_of_Chad.svg.png,Chad,N'Djamena,Africa
9/94/Flag_of_the_Comoros.svg/100px-Flag_of_the_Comoros.svg.png,Comoros,Moroni,Africa
6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/100px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,Democratic Congo,Kinshasa,Africa
9/92/Flag_of_the_Republic_of_the_Congo.svg/100px-Flag_of_the_Republic_of_the_Congo.svg.png,Congo,Brazzaville,Africa
3/34/Flag_of_Djibouti.svg/100px-Flag_of_Djibouti.svg.png,Djibouti,Djibouti,Africa
f/fe/Flag_of_Egypt.svg/100px-Flag_of_Egypt.svg.png,Egypt,Cairo,Africa
3/31/Flag_of_Equatorial_Guinea.svg/100px-Flag_of_Equatorial_Guinea.svg.png,Equatorial Guinea,Malabo,Africa
2/29/Flag_of_Eritrea.svg/100px-Flag_of_Eritrea.svg.png,Eritrea,Asmara,Africa
f/fb/Flag_of_Eswatini.svg/100px-Flag_of_Eswatini.svg.png,Eswatini,Lobamba,Africa
7/71/Flag_of_Ethiopia.svg/100px-Flag_of_Ethiopia.svg.png,Ethiopia,Addis Ababa,Africa
0/04/Flag_of_Gabon.svg/100px-Flag_of_Gabon.svg.png,Gabon,Libreville,Africa
7/77/Flag_of_The_Gambia.svg/100px-Flag_of_The_Gambia.svg.png,Gambia,Banjul,Africa
1/19/Flag_of_Ghana.svg/100px-Flag_of_Ghana.svg.png,Ghana,Accra,Africa
e/ed/Flag_of_Guinea.svg/100px-Flag_of_Guinea.svg.png,Guinea,Conakry,Africa
0/01/Flag_of_Guinea-Bissau.svg/100px-Flag_of_Guinea-Bissau.svg.png,Guinea-Bissau,Bissau,Africa
f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/100px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Côte De Ivor,Yamoussoukro,Africa
